"Column Name","Label"
"GEO_ID","Geographic identifier code"
"NAME","Geographic Area Name"
"NAICS2012","2012 NAICS code"
"INDGROUP","Industry group"
"INDLEVEL","Industry level"
"SUBSECTOR","SUBSECTOR"
"SECTOR","NAICS economic sector "
"NAICS2012_LABEL","Meaning of NAICS code"
"LFO","Legal form of organization code"
"LFO_LABEL","Meaning of Legal form of organization code"
"EMPSZES","Employment size of establishment"
"EMPSZES_LABEL","Meaning of Employment size of establishments"
"YEAR","Year"
"ESTAB","Number of establishments"
"EMP","Paid employees for pay period including March 12 (number)"
"EMP_N","Noise range for number of paid employees for pay period including March 12 "
"PAYQTR1","First-quarter payroll ($1,000)"
"PAYQTR1_N","Noise range for first-quarter payroll (%)"
"PAYANN","Annual payroll ($1,000)"
"PAYANN_N","Noise range for annual payroll "
