"COUNTY","initial_approval_none","initial_approval_baseline","initial_approval_broad","num_petitions_none","num_petitions_baseline","num_petitions_broad","initial_approval","num_petitions"
"01007",1,1,1,NA,NA,NA,1,NA
"01013",1,1,1,2,2,2,1,2
"01015",3,0,0,NA,NA,NA,0,NA
"01017",11,11,11,50,50,50,11,50
"01019",2,2,1,1,1,0,2,1
"01025",1,1,0,NA,NA,NA,1,NA
"01027",1,0,0,NA,NA,NA,0,NA
"01033",1,1,1,NA,NA,NA,1,NA
"01037",2,0,0,6,6,6,0,6
"01041",1,1,1,12,12,12,1,12
"01051",2,0,0,8,8,8,0,8
"01055",2,2,1,1,1,0,2,1
"01061",11,11,6,19,19,19,11,19
"01069",11,11,6,19,19,19,11,19
"01073",132,26,24,65,40,31,26,40
"01077",2,1,1,1,1,1,1,1
"01081",44,17,17,84,81,81,17,81
"01083",1,1,1,3,3,3,1,3
"01087",8,8,8,33,33,33,8,33
"01089",19,10,7,36,35,32,10,35
"01097",10,7,4,16,16,16,7,16
"01101",25,17,14,74,74,71,17,74
"01103",2,2,1,2,2,2,2,2
"01109",4,0,0,6,6,6,0,6
"01113",1,1,1,6,6,6,1,6
"01115",1,1,1,2,2,2,1,2
"01117",7,7,6,25,25,16,7,25
"01119",1,0,0,2,2,2,0,2
"01121",1,0,0,NA,NA,NA,0,NA
"01123",2,0,0,10,10,10,0,10
"01125",36,3,2,17,14,14,3,14
"02020",13,5,4,10,10,10,5,10
"02090",6,1,0,3,2,2,1,2
"02185",1,1,1,NA,NA,NA,1,NA
"02188",1,1,1,NA,NA,NA,1,NA
"02275",1,0,0,NA,NA,NA,0,NA
"04001",3,1,1,NA,NA,NA,1,NA
"04003",1,1,1,2,2,2,1,2
"04005",14,1,1,4,2,1,1,2
"04009",9,3,3,3,1,1,3,1
"04013",1664,1580,1544,1395,1326,1297,1580,1326
"04015",3,3,3,3,2,1,3,2
"04017",7,0,0,3,0,0,0,0
"04019",79,19,13,66,40,33,19,40
"04021",1211,1210,1206,52,51,51,1210,51
"04023",3,1,0,8,3,1,1,3
"04025",1,1,0,2,2,2,1,2
"04027",7,6,6,6,6,2,6,6
"05003",1,1,0,NA,NA,NA,1,NA
"05005",1,1,1,1,1,1,1,1
"05007",152,152,152,176,176,176,152,176
"05009",2,2,2,2,2,2,2,2
"05011",1,1,1,NA,NA,NA,1,NA
